gene_symbol,uniprotkb_ac
IGHV3OR16-8,A0A075B7F1
IGLV5-45,A0A087WSX0
IGKV3D-15,A0A087WSY6
IGKV1D-8,A0A087WSZ0
TRAV30,A0A087WSZ9
TRAV27,A0A087WT01
TRAV9-2,A0A087WT02
TRAV26-1,A0A087WT03
KCNE1B,A0A087WTH5
TRAJ36,A0A087WU04
TRAJ36,A0A087WU04
NBPF19,A0A087WUL8
TRBV16,A0A087WV62
TBC1D3D,A0A087WVF3
IGKV2-40,A0A087WW87
MEIKIN,A0A087WXM9
TBC1D3I,A0A087WXS9
ELSPBP1,A0A087WY45
IGHV1OR21-1,A0A087WYE8
IGHV1OR21-1,A0A087WYE8
TRBV15,A0A087WZ39
ENSG00000213240,A0A087X002
TRAJ37,A0A087X096
USP50,A0A087X0L6
TRBV18,A0A087X0M5
TBC1D3E,A0A087X179
ZDHHC11B,A0A087X1A0
ENSG00000269226,A0A087X1C1
CYP2D7,A0A087X1C5
TBC1D3K,A0A087X1G2
ENSG00000256825,A0A088AWK7
ENSG00000259060,A0A096LNG9
DEFB131B,A0A096LNP1
SMIM26,A0A096LP01
CCDC187,A0A096LP49
UQCRHL,A0A096LP55
ENSG00000284455,A0A096LPE4
ENSG00000269167,A0A096LPG2
GVQW2,A0A096LPI5
LMTK3,A0A0A0MQW5
ENSG00000270149,A0A0A0MQY5
RPL17-C18orf32,A0A0A0MRF8
ENSG00000273167,A0A0A0MRY4
IGKV2D-26,A0A0A0MRZ7
IGKV2D-26,A0A0A0MRZ7
IGKV3D-11,A0A0A0MRZ8
IGLV5-52,A0A0A0MRZ9
IGLV5-52,A0A0A0MRZ9
IGLV3-32,A0A0A0MS00
TRGV10,A0A0A0MS01
TRGV10,A0A0A0MS01
TRGV1,A0A0A0MS02
TRGV1,A0A0A0MS02
TRBV6-7,A0A0A0MS04
TRBV6-7,A0A0A0MS04
TRBV5-7,A0A0A0MS05
TRBV5-7,A0A0A0MS05
TRBV23-1,A0A0A0MS06
TRBV23-1,A0A0A0MS06
IGHV1-45,A0A0A0MS14
IGHV3-49,A0A0A0MS15
RBM14-RBM4,A0A0A0MSL8
MROH7-TTC4,A0A0A0MT08
IGKV6D-21,A0A0A0MT36
IGKV6D-21,A0A0A0MT36
IGKJ4,A0A0A0MT69
TRBJ2-6,A0A0A0MT70
IGLJ1,A0A0A0MT76
IGLJ1,A0A0A0MT76
TRBJ2-7,A0A0A0MT78
TRBJ2-7,A0A0A0MT78
IGHJ5,A0A0A0MT81
IGLJ2,A0A0A0MT82
IGLJ2,A0A0A0MT82
TRGJP2,A0A0A0MT84
TRGJP2,A0A0A0MT84
IGLJ5,A0A0A0MT86
TRBJ2-4,A0A0A0MT87
TRBJ2-4,A0A0A0MT87
IGKJ1,A0A0A0MT89
IGHJ6,A0A0A0MT91
IGLJ7,A0A0A0MT92
IGLJ6,A0A0A0MT93
IGLJ6,A0A0A0MT93
TRBJ2-2,A0A0A0MT94
TRBJ2-2,A0A0A0MT94
IGKJ3,A0A0A0MT96
TRGJP1,A0A0A0MT97
TRGJP1,A0A0A0MT97
IGLJ3,A0A0A0MT99
IGLJ4,A0A0A0MTA1
TRBJ2-2P,A0A0A0MTA2
TRBJ2-2P,A0A0A0MTA2
IGKJ5,A0A0A0MTA3
IGKJ5,A0A0A0MTA3
TRBJ2-5,A0A0A0MTA4
IGHJ3,A0A0A0MTA5
TRBJ2-1,A0A0A0MTA7
TRBJ2-1,A0A0A0MTA7
RNF213,A0A0A0MTC1
TRAV14DV4,A0A0A6YYC5
TRBV13,A0A0A6YYD4
TRBV6-6,A0A0A6YYG2
TRBV6-8,A0A0A6YYG3
TRAV8-3,A0A0A6YYJ7
TRAV8-3,A0A0A6YYJ7
TRAV8-1,A0A0A6YYK1
TRAV8-1,A0A0A6YYK1
TRBV7-1,A0A0A6YYK4
TRBV7-1,A0A0A6YYK4
TRAV16,A0A0A6YYK6
TRAV16,A0A0A6YYK6
TRAV19,A0A0A6YYK7
TRAV19,A0A0A6YYK7
BORCS7-ASMT,A0A0B4J1R7
LY6G6E,A0A0B4J1T7
LY6G6E,A0A0B4J1T7
IGLV1-36,A0A0B4J1U3
IGLV1-36,A0A0B4J1U3
TRGV5,A0A0B4J1U4
TRGV5,A0A0B4J1U4
TRBV9,A0A0B4J1U6
IGHV6-1,A0A0B4J1U7
IGHV6-1,A0A0B4J1U7
IGHV3-15,A0A0B4J1V0
IGHV3-15,A0A0B4J1V0
IGHV3-21,A0A0B4J1V1
IGHV3-21,A0A0B4J1V1
IGHV2-26,A0A0B4J1V2
IGHV2-26,A0A0B4J1V2
IGHV3-73,A0A0B4J1V6
IGHV3-73,A0A0B4J1V6
IGHV7-81,A0A0B4J1V7
IGHV7-81,A0A0B4J1V7
PPAN-P2RY11,A0A0B4J1V8
ENSG00000183889,A0A0B4J1W7
NPIPA9,A0A0B4J1W7
IGHV3-74,A0A0B4J1X5
IGHV3-74,A0A0B4J1X5
IGHV3-43,A0A0B4J1X8
IGHV3-43,A0A0B4J1X8
IGLV9-49,A0A0B4J1Y8
IGLV9-49,A0A0B4J1Y8
IGHV3-72,A0A0B4J1Y9
IGHV3-72,A0A0B4J1Y9
IGKV1D-43,A0A0B4J1Z2
IGKV1D-43,A0A0B4J1Z2
TRBJ2-3,A0A0B4J200
TRBJ2-3,A0A0B4J200
