GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	O00219	HAS3	enables	GO:0050501	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O08650|ensembl:ENSMUSP00000034385	9606	Ensembl		20201205
UniProtKB	O00219	HAS3	enables	GO:0050501	F	ECO:0000314	IDA	PMID:16900089		9606	UniProt	occurs_in(CL:0002306)	20120215
UniProtKB	O00587	MFNG	enables	GO:0008375	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0011591|MGI:MGI:1095413|PANTHER:PTN000087478|UniProtKB:O00587|UniProtKB:Q8NES3	9606	GO_Central		20180308
UniProtKB	O00587	MFNG	enables	GO:0033829	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0011591|MGI:MGI:1095413|PANTHER:PTN000087518|UniProtKB:O00587|UniProtKB:Q8NES3	9606	GO_Central		20200807
UniProtKB	O00587	MFNG	enables	GO:0033829	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017374	9606	InterPro		20201205
UniProtKB	O00587	MFNG	enables	GO:0033829	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.222	9606	UniProt		20201205
UniProtKB	O00587	MFNG	enables	GO:0033829	F	ECO:0000314	IDA	PMID:10935626		9606	FlyBase		20190121
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002892972|RGD:62060|UniProtKB:O15294|WB:WBGene00003858|ZFIN:ZDB-GENE-030131-9631	9606	GO_Central		20190305
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000314	IDA	PMID:24474760		9606	UniProt		20140307
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000314	IDA	PMID:22923583		9606	UniProt		20120920
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000314	IDA	PMID:23352454		9606	UniProt		20130315
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000314	IDA	PMID:23222540		9606	UniProt		20130315
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000314	IDA	PMID:23353889		9606	UniProt		20130315
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000314	IDA	PMID:21240259		9606	UniProt		20110203
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000314	IDA	PMID:21285374		9606	UniProt		20110208
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000314	IDA	PMID:30699359		9606	UniProt		20200204
UniProtKB	O15294	OGT	enables	GO:0097363	F	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8CGY8	9606	UniProt		20140223
UniProtKB	O15294	OGT	enables	GO:0097363	F	ECO:0000315	IMP	PMID:28584052		9606	UniProt		20171002
UniProtKB	O15294	OGT	enables	GO:0008375	F	ECO:0000304	TAS	PMID:9083068		9606	PINC		20030904
UniProtKB	O15294	OGT	enables	GO:0097363	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.255	9606	UniProt		20201205
UniProtKB	O15294	OGT	enables	GO:0097363	F	ECO:0000315	IMP	PMID:23777819		9606	MGI		20140917
UniProtKB	O15294	OGT	enables	GO:0097363	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CGY8|ensembl:ENSMUSP00000045409	9606	Ensembl		20201205
UniProtKB	O15294	OGT	enables	GO:0016262	F	ECO:0000315	IMP	PMID:26678539		9606	UniProt		20180123
UniProtKB	O15466	ST8SIA5	enables	GO:0003828	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:106018|MGI:MGI:106019|MGI:MGI:106020|MGI:MGI:109243|PANTHER:PTN000241531|UniProtKB:O43173|UniProtKB:Q92185|UniProtKB:Q92186|UniProtKB:Q92187	9606	GO_Central		20201024
UniProtKB	O15466	ST8SIA5	enables	GO:0008373	F	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q6ZXC8	9606	UniProt		20200114
UniProtKB	O15466	ST8SIA5	enables	GO:0008373	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001675|InterPro:IPR012163	9606	InterPro		20201205
UniProtKB	O15466	ST8SIA5	enables	GO:0008373	F	ECO:0000304	TAS	PMID:9199191		9606	PINC		20030904
UniProtKB	O15466	ST8SIA5	enables	GO:0003828	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70126|ensembl:ENSMUSP00000074764	9606	Ensembl		20201205
UniProtKB	O15488	GYG2	enables	GO:0008466	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000127027|SGD:S000001766|SGD:S000003673|UniProtKB:O15488	9606	GO_Central		20190312
UniProtKB	O15488	GYG2	enables	GO:0008466	F	ECO:0000314	IDA	PMID:9857012		9606	UniProt		20181112
